auction_date_long,auction_desc,auction_house,auction_location,auction_name,chassis_number,image,link,link_v2,lot_description,price_eur_number,price_eur_string,price_gbp_number,price_gbp_string,price_usd_number,price_usd_string,reg_number,url,year,sourceUrl,status
30th Jun 2017,Bonhams • The Goodwood Festival of Speed Sale,Bonhams,United Kingdom,The Goodwood Festival of Speed Sale,ZFFGJ34B000078036,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/QFERfPg8n8j47s0piZbcWf-bEm21cVUI7eF7JW9H5s0CAtMKmF2z5xEHktvudIzKCdKshogScHI8CWhwbxHaVw.jpeg,/cars/ferrari/f40/1988/452567,/cars/ferrari/f40/452567,264N — The ex David Gilmour 1988 Ferrari F40 Berlinetta,0,Not Sold,0,Not Sold,0,Not Sold,F58 SBF,https://cars.bonhams.com/auction/24120/lot/264/the-ex-david-gilmour1988-ferrari-f40-berlinetta-chassis-no-zffg734b000078036/,1988,https://www.theclassicvaluer.com,Not Sold
24th Jun 2017,RM Sotheby's • Santa Monica,RM Sotheby's,United States,Santa Monica,93065,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/eJLRTe6u-AA_yVt4fg2WmCHs8G_vC1WIen2BIbGrx0ikdB8_QSqSt0QNmx6WzTrv4J7LR-N1lIwVaM_duHqGpg.jpeg,/cars/ferrari/f40/1992/126722,/cars/ferrari/f40/126722,1992 Ferrari F40,856529,"€856,529",752075,"£752,075",957000,"$957,000",,https://rmsothebys.com/en/auctions/ca17/santa-monica/lots/r0005-1992-ferrari-f40/565043,1992,https://www.theclassicvaluer.com,Sold
4th Jun 2017,Bonhams • Greenwich Concours d'Elegance Auction,Bonhams,United States,Greenwich Concours d'Elegance Auction,ZFFGJ34B000084539,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/kxOS1lydyerS_wTfJHf7Ms5OcFD4KnLZAjsENTaLKoxTKhCqNZtD6dxTzvHHV8RnVXWssPFGUEPMnBZdfs2_Eg.jpeg,/cars/ferrari/f40/1990/126688,/cars/ferrari/f40/126688,1990 Ferrari F40,784523,"€784,523",684638,"£684,638",880000,"$880,000",,https://www.bonhams.com/auctions/24143/lot/164/?category=list&length=10000&page=1,1990,https://www.theclassicvaluer.com,Sold
27th May 2017,RM Sotheby's • Villa Erba,RM Sotheby's,Italy,Villa Erba,ZFFGJ34B000085749,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/Ez9d84TIIwt9hKPUKXh1EYqoVWzWA8PWgCFnpXVFNucl_mSNAdPjoU60tUpRV0rXpTMxcepUbU7p6_zmwdyb9A.jpeg,/cars/ferrari/f40/1990/126691,/cars/ferrari/f40/126691,1990 Ferrari F40,1064000,"€1,064,000",927702,"£927,702",1191254,"$1,191,254",,https://rmsothebys.com/en/auctions/ve17/villa-erba/lots/r163-1990-ferrari-f40/430619,1990,https://www.theclassicvaluer.com,Sold
10th Mar 2017,Gooding & Co • The Amelia Island Auction 2017,Gooding & Co,United States,The Amelia Island Auction 2017,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/gpGjt4jtH0Ad57p8KBCLm5DkTdiJ46I4mXlIs8CXWfvdAwE_jwve5aj_z-6KAG2xj64mUfeDLsJokGT8-PVYQA.jpeg,/cars/ferrari/f40/1990/368012,/cars/ferrari/f40/368012,1990 Ferrari F40,1409855,"€1,409,855",1.206131e+06,"£1,206,131",1485000,"$1,485,000",,https://www.goodingco.com/#428041990ferrarif40,1990,https://www.theclassicvaluer.com,Sold
8th Feb 2017,RM Sotheby's • Paris,RM Sotheby's,France,Paris,ZFFGJ34B000080747,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/ahQHX0Zr16p9NdfVD9Pyae0jcAct5CTJ4Hl6QixBrvOCDmYLgZFwLEhe9Jkc_UQrr5momPrWwB7o3pjC5oYzIg.jpeg,/cars/ferrari/f40/1989/126675,/cars/ferrari/f40/126675,1989 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://rmsothebys.com/en/auctions/pa17/paris/lots/r149-1989-ferrari-f40/412129,1989,https://www.theclassicvaluer.com,Not Sold
20th Jan 2017,RM Sotheby's • Arizona,RM Sotheby's,United States,Arizona,ZFFMN34A9L0086678,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/5YIC0_cMHHTgSbCzCZb86fIdzZDuJowIzeQuZyQWmhqeDfjpgoKyd0WVchADPKf2XnFH1UkWRe3V8t0mL8xqYQ.jpeg,/cars/ferrari/f40/1990/126694,/cars/ferrari/f40/126694,1990 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,2ULR999,https://rmsothebys.com/en/auctions/az17/arizona/lots/r270-1990-ferrari-f40/411865,1990,https://www.theclassicvaluer.com,Not Sold
27th Nov 2016,RM Sotheby's • Duemila Ruote,RM Sotheby's,Italy,Duemila Ruote,ZFFGJ34B000091464,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/mCVBZpj7dJCqhAQ-aGioYM5mkct6sX1seldlKhOVgXFgFDmE1VqBIEiiofb92sZA2Iv1MCRI4gTgohFzThWCEA.jpeg,/cars/ferrari/f40/1992/126724,/cars/ferrari/f40/126724,1992 Ferrari F40,1030400,"€1,030,400",895359,"£895,359",1112724,"$1,112,724",M-WW 8833,https://rmsothebys.com/en/auctions/tv16/duemila-ruote/lots/r1006-1992-ferrari-f40/405587,1992,https://www.theclassicvaluer.com,Sold
7th Sep 2016,RM Sotheby's • London,RM Sotheby's,United Kingdom,London,ZFFGJ34B000089028,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/wHxhlPQi5aqbXbp7qJJj5bWPdFR2gVFaZb_n0uYPLh6LutnkjGLfPsjo8xUaFYx00YPbniDeepJWXSHo6dQnAA.jpeg,/cars/ferrari/f40/1990/126684,/cars/ferrari/f40/126684,1990 Ferrari F40,1084302,"€1,084,302",924000,"£924,000",1215720,"$1,215,720",,https://rmsothebys.com/en/auctions/lf16/london/lots/r111-1990-ferrari-f40/379220,1990,https://www.theclassicvaluer.com,Sold
20th Aug 2016,RM Sotheby's • Monterey,RM Sotheby's,United States,Monterey,ZFFGJ34B000087123,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/WFGtbW9IZh5eUcpEJylQ_MjcA5MaO_mFcd8SX-clLE2SsOAFA7VfCSi_g4aGjSMpkNL9RhDTqMCoaWGz9OZlWA.jpeg,/cars/ferrari/f40/1990/126693,/cars/ferrari/f40/126693,1990 Ferrari F40,1116899,"€1,116,899",966531,"£966,531",1265000,"$1,265,000",,https://rmsothebys.com/en/auctions/mo16/monterey/lots/r206-1990-ferrari-f40/381821,1990,https://www.theclassicvaluer.com,Sold
19th Aug 2016,Bonhams • Quail Lodge Auction,Bonhams,United States,Quail Lodge Auction,ZFFGJ34B000079763,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/PmM9hq-3og8ZXklebfBBw77krNtJrfjZrb08PrSIwRB-lpx5itHi5xv-2Nw3hWJPchqJVlr_gLpYbe8ARU_MdA.jpeg,/cars/ferrari/f40/1989/126674,/cars/ferrari/f40/126674,1989 FERRARI F40,1019778,"€1,019,778",882485,"£882,485",1155000,"$1,155,000",,https://www.bonhams.com/auctions/23425/lot/90/?category=list&length=10000&page=1,1989,https://www.theclassicvaluer.com,Sold
18th Aug 2016,Mecum • Monterey 2016,Mecum,United States,Monterey 2016,ZFFMN34A0L0085788,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/B0hA6GC3V4CEjl2CkjSiGzV5ucJ_vfKcZ5NDpq75iqNjNRu5mJliuKxGCTtVxewXW-RLkruFhe2eFKACzOCBPg.jpeg,/cars/ferrari/f40/1990/263241,/cars/ferrari/f40/263241,1990 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.mecum.com/lots/261690/1990-ferrari-f40/,1990,https://www.theclassicvaluer.com,Not Sold
5th Jun 2016,Bonhams • Greenwich Concours d'Elegance Auction,Bonhams,United States,Greenwich Concours d'Elegance Auction,ZFFGJ34B000080727,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/qV_v7ofiRSUYjYWaN2utb4d7qYCRk2dWfVaT7vtzDKzXknv2w1bbwz_Vi-D1EPtjQ8vNXJFZkmMQPrcruNhq1w.jpeg,/cars/ferrari/f40/1989/126673,/cars/ferrari/f40/126673,1989 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.bonhams.com/auctions/23513/lot/10/?category=list&length=10000&page=1,1989,https://www.theclassicvaluer.com,Not Sold
4th Feb 2016,Bonhams • Les Grandes Marques du Monde au Grand Palais,Bonhams,France,Les Grandes Marques du Monde au Grand Palais,ZFFGJ34B000087784,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/TGGvtor8gSVCZY4ZI2K5ugUWmuDdqQGMKZKWPT42VxDV7Ts4rKVO1hAsZdKzuNVzNaZA5oqvAW1TjI-1Dq0V5Q.jpeg,/cars/ferrari/f40/1990/126692,/cars/ferrari/f40/126692,Ferrari F40 Berlinetta 1990,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.bonhams.com/auctions/23262/lot/336/?category=list&length=10000&page=1,1990,https://www.theclassicvaluer.com,Not Sold
