auction_date_long,auction_desc,auction_house,auction_location,auction_name,chassis_number,image,link,link_v2,lot_description,price_eur_number,price_eur_string,price_gbp_number,price_gbp_string,price_usd_number,price_usd_string,reg_number,url,year,sourceUrl,status
22nd May 2025,RM Sotheby's • Milan,RM Sotheby's,Italy,Milan,ZFFGJ34B000080763,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/4AbkxHbXYS9t-ECAAOcAN8BppjGqNxh91EDoVSTsm5ywFKF2PPXomEZHUiIf5JnGwGss9wFP979_mHEGA60gGQ.jpeg,/cars/ferrari/f40/1989/541823,/cars/ferrari/f40/541823,1989 Ferrari F40,2817500,"€2,817,500",2.394875e+06,"£2,394,875",3180958,"$3,180,958",,https://rmsothebys.com/auctions/ml25/lots/r0034-1989-ferrari-f40/,1989,https://www.theclassicvaluer.com,Sold
8th Mar 2025,Broad Arrow • The Amelia Auction 2025,Broad Arrow,United States,The Amelia Auction 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/Mu7IAoR3P2xhJ_6agvlUUd9RSJszTBsEJaax95ZpgRbaZo2hcJtvEliWMlpUI4EN1v0bLMAwbfUXqunnE3hdSg.jpeg,/cars/ferrari/f40/1990/515652,/cars/ferrari/f40/515652,1990 Ferrari F40,3529395,"€3,529,395",2.913675e+06,"£2,913,675",3665000,"$3,665,000",,https://www.broadarrowauctions.com/vehicles/am25_r182/1990-ferrari-f40,1990,https://www.theclassicvaluer.com,Sold
28th Feb 2025,RM Sotheby's • Miami,RM Sotheby's,United States,Miami,ZFFMN34A1M0089382,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/Nh9ua7WnqZPLIYM_7BhvK3MUtmTQX8YHetD-qDmkUrza_IiYEpFWIGNdW6ZfwSqj2n-MkKJfNiab81qpgCuVhQ.jpeg,/cars/ferrari/f40/1991/514293,/cars/ferrari/f40/514293,1991 Ferrari F40,3454700,"€3,454,700",2.88906e+06,"£2,889,060",3580000,"$3,580,000",,https://rmsothebys.com/auctions/mi25/lots/r0050-1991-ferrari-f40/,1991,https://www.theclassicvaluer.com,Sold
18th Jan 2025,Mecum • Kissimmee 2025,Mecum,United States,Kissimmee 2025,ZFFGJ34B000094528,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/8D2bve01JdSaWrgewskiH7yR8Us79BGAzaQs3uSjczO-g7Wi3qIIA9glFXHtx9Nt-HknZGw60jj5i8-gmHJ1uA.jpeg,/cars/ferrari/f40/1992/500124,/cars/ferrari/f40/500124,1992 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.mecum.com/lots/1137173/1992-ferrari-f40/?aa_id=640672-0,1992,https://www.theclassicvaluer.com,Not Sold
2nd Nov 2024,RM Sotheby's • London 2024,RM Sotheby's,United Kingdom,London 2024,ZFFGJ34B000083052,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/SrnXPLka7_CSYQMR83tsDDABv-Op3qxlm9zHmwJkCX-7Tkd4h44quq1CunVlPV5ZjXbz6qv3iuk72PsWWJv-5Q.jpeg,/cars/ferrari/f40/1989/486662,/cars/ferrari/f40/486662,1989 Ferrari F40,2354684,"€2,354,684",1.97375e+06,"£1,973,750",2557980,"$2,557,980",GE 876251,https://rmsothebys.com/auctions/lf24/lots/r0053-1989-ferrari-f40/,1989,https://www.theclassicvaluer.com,Sold
18th Aug 2024,RM Sotheby's • Monterey 2024,RM Sotheby's,United States,Monterey 2024,ZFFGJ34B000088538,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/dtBaZDHopfYZmlHfmVMurTtnZuBGUkloLfwMrhZIMfMLd-SLi6gWtzhVUBlho1QUhwrmKnOjAxIo_TFPfYl5Zw.jpeg,/cars/ferrari/f40/1991/468868,/cars/ferrari/f40/468868,1991 Ferrari F40 ‘Minty Forty,1650892,"€1,650,892",1.407112e+06,"£1,407,112",1792500,"$1,792,500",,https://rmsothebys.com/auctions/mo24/lots/r0157-1991-ferrari-f40-minty-forty/,1991,https://www.theclassicvaluer.com,Sold
15th Aug 2024,Broad Arrow • Monterey Jet Center 2024,Broad Arrow,United States,Monterey Jet Center 2024,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/4joOe5iZH0yQnmjVRzNhAlu5vCk2r5glQt9Wk6kmoPNY8-uSYY5paOIaN3FVV0AJzvab_lUm6AsepGc_1fW8tA.jpeg,/cars/ferrari/f40/1990/469905,/cars/ferrari/f40/469905,1990 Ferrari F40,2264950,"€2,264,950",1.93515e+06,"£1,935,150",2425000,"$2,425,000",,https://www.broadarrowauctions.com/vehicles/jc24_r110/1990-ferrari-f40,1990,https://www.theclassicvaluer.com,Sold
26th Jun 2024,Collecting Cars • 2024,Collecting Cars,Thailand,2024,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/8rC39jNf4IMDqJwKv1p8-iB0ePemG6JeegUSMihNSimxd5DXYU_i5Tx5Gk6pfZXMvZrBAGNBtXyCz9Zu8Qm5aQ.jpeg,/cars/ferrari/f40/1989/458843,/cars/ferrari/f40/458843,1989 Ferrari F40,1383342,"€1,383,342",1.17907e+06,"£1,179,070",1502000,"$1,502,000",,https://collectingcars.com/for-sale/1989-ferrari-f40-1,1989,https://www.theclassicvaluer.com,Sold
1st Jun 2024,RM Sotheby's • Dare To Dream Collection,RM Sotheby's,Canada,Dare To Dream Collection,ZFFGJ34B000084169,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/4ppBAfYjH5OH5TN653y1zYnF6-UE23c-R-iqJ3NJ8-_IPDcXSeEUUpHwdY5robGUE83dQsMaoKESjdElrzdZyg.jpeg,/cars/ferrari/f40/1990/447989,/cars/ferrari/f40/447989,1990 Ferrari F40,3240980,"€3,240,980",2.76906e+06,"£2,769,060",3470000,"$3,470,000",,https://rmsothebys.com/auctions/dd24/lots/r0036-1990-ferrari-f40/,1990,https://www.theclassicvaluer.com,Sold
9th Mar 2024,Mecum • Glendale 2024,Mecum,United States,Glendale 2024,ZFFMN34AXN0091097,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/fRw1teBlgaeUgSSq2ZiyPHfyfIl3n8I5jL_LrVxs8ytxIPaNPnxbCs7FxcoafDQXPq7QuNv7txUqzVvMA3Wd1w.jpeg,/cars/ferrari/f40/1992/421027,/cars/ferrari/f40/421027,1992 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.mecum.com/lots/1104747/1992-ferrari-f40/?aa_id=527124-0,1992,https://www.theclassicvaluer.com,Not Sold
2nd Mar 2024,RM Sotheby's • Miami 2024,RM Sotheby's,United States,Miami,ZFFGJ34B000084116,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/6IXZdO21oUi8R_f2tOEVJQQ8DJa-AKb18lUKjT3e-WNx1ul1r6_-mnQeCbKYVQAamMpAP4stj6KnokyZrrKMNA.jpeg,/cars/ferrari/f40/1990/453070,/cars/ferrari/f40/453070,1990 Ferrari F40,3091200,"€3,091,200",2.6376e+06,"£2,637,600",3360000,"$3,360,000",,https://rmsothebys.com/auctions/mi24/lots/r0117-1990-ferrari-f40/,1990,https://www.theclassicvaluer.com,Sold
14th Jan 2024,Mecum • Kissimmee 2024,Mecum,United States,Kissimmee 2024,ZFFMN34A3N0092396,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/9XbtsRV8_6QSMGwXTDAUTUY8bKgSNP2HIXVzH6lGR_3Cxw9hgpa1J8KtNpZ2K-12yrOnQ9joRbMGlptcWqoeuQ.jpeg,/cars/ferrari/f40/1992/401515,/cars/ferrari/f40/401515,1992 Ferrari F40,3187810,"€3,187,810",2.735874e+06,"£2,735,874",3410000,"$3,410,000",,https://www.mecum.com/lots/1102480/1992-ferrari-f40/?aa_id=513416-0,1992,https://www.theclassicvaluer.com,Sold
